method,rank,canonical_name,weighted_degree,degree
cooccurrence,1,刘备,1996.0,73
cooccurrence,2,诸葛亮,1624.0,66
cooccurrence,3,曹操,1522.0,76
cooccurrence,4,关羽,849.0,61
cooccurrence,5,张飞,642.0,46
cooccurrence,6,赵云,638.0,50
cooccurrence,7,孙权,569.0,58
cooccurrence,8,袁绍,481.0,56
cooccurrence,9,魏延,480.0,40
cooccurrence,10,吕布,403.0,42
dialogue,1,刘备,233.0,23
dialogue,2,诸葛亮,169.0,18
dialogue,3,关羽,66.0,8
dialogue,4,张飞,51.0,5
dialogue,5,庞统,22.0,6
dialogue,6,孙乾,13.0,3
dialogue,7,司马徽,12.0,1
dialogue,8,赵云,9.0,4
dialogue,9,吴国太,8.0,2
dialogue,10,姜维,7.0,2
semantic_context,1,徐晃,4.026682078838348,5
semantic_context,2,张郃,3.880471408367157,5
semantic_context,3,曹洪,3.861879289150238,5
semantic_context,4,刘备,3.7858607172966003,5
semantic_context,5,张昭,3.7409809827804565,5
semantic_context,6,魏延,3.7087920904159546,5
semantic_context,7,孙乾,3.6801825761795044,5
semantic_context,8,曹丕,3.6766388416290283,5
semantic_context,9,庞统,3.6592127084732056,5
semantic_context,10,司马徽,3.631430685520172,5
