source,target,weight,chapter_count,chapters,sample_evidence,relation_definition
刘备,诸葛亮,214,43,36;37;38;39;40;41;42;43;44;45;48;49;50;51;52;53;54;55;56;57;58;60;61;62;63;64;65;66;67;70;71;72;73;77;78;79;80;81;82;84;85;106;120,"Chapter 36, P036-021: 玄德喜曰：「愿闻此人姓名。」庶曰：「此人乃瑯琊阳都人，覆姓诸葛，名亮，字孔明。乃汉司隶校尉诸葛丰之后其父名珪，字子贡，为泰山郡丞，早卒。亮从其叔玄。玄与荆州刘景升有旧，因往依之，遂家于襄阳。后玄卒，亮与弟诸葛均躬耕于南阳尝好为梁父吟。所居之地，有一冈，名卧龙冈，因自号为卧龙先生。此人乃绝代奇才，使君急宜枉驾见之。若此人肯相辅佐，何愁天下不定乎？」玄德曰：「昔水镜先生曾为备言：『伏龙、凤雏，两人得一，可安天下。』今所云莫非即伏龙、凤雏乎？」庶曰：「凤雏乃襄阳庞统也。伏龙正是诸葛孔明。」玄德踊跃曰：「今日方知伏龙、凤雏之语。何期大贤只在目前。非先生言，备有眼如盲也！」后人有赞徐庶走马荐诸葛诗曰： || Chapter 36, P036-023: 徐庶荐了孔明，再别玄德，策马而去。玄德闻徐庶之语，方悟司马德操之言，似醉方醒，如梦初觉，引众将回至新野，便具厚币，同关、张前去南阳请孔明。 || Chapter 36, P036-024: 且说徐庶既别玄德，感其留恋之情，恐孔明不肯出山辅之，遂乘马直至卧龙冈下，入草庐见孔明。孔明问其来意。庶曰：「庶本欲事刘豫州，奈老母为曹操所囚，驰书来召，只得舍之而往。临行时，将公荐与玄德。玄德即日将来奉谒，望公勿推阻，即展平生之大才以辅之，幸甚。」",same_body_paragraph
刘备,曹操,199,58,2;5;11;13;14;16;17;18;19;20;21;22;23;24;25;26;27;28;31;32;34;35;36;37;38;39;40;41;42;43;44;45;49;50;51;52;55;56;57;58;60;61;62;63;65;66;67;68;70;71;72;73;74;77;78;81;82;120,"Chapter 2, P002-002: 于是三人连夜引军来投朱隽。隽待之其厚，合兵一处，进讨张宝。是时曹操自跟皇甫嵩讨张梁，大战于曲阳。这里朱隽进攻张宝。张宝引贼众八九万，屯于山后。隽令玄德为其先锋，与贼对敌。张宝遣副将高升出马搦战。玄德使张飞击之。飞纵马挺矛，与升交战，不数合，刺升落马。玄德麾军直冲过去。张宝就马上披发仗剑，作起妖法。只见风雷大作，一股黑气，从天而降：黑气中似有无限人马杀来。玄德连忙回军，军中大乱，败阵而归，与朱隽计议。隽曰：「彼用妖术，我来日可宰猪羊狗血，令军士伏于山头；候贼赶来，从高坡上泼之，其法可解。」 || Chapter 5, P005-010: 玄德、关、张引数骑跟公孙瓒来。曹操接著。众诸侯亦陆续皆至，各自安营下寨，连接二百余里。操乃宰牛杀马，大会诸侯，商议进兵之策。太守王匡曰：「今奉大义，必立盟主；众听约束，然后进兵。」操曰：「袁本初四世三公，门多故吏，汉朝名相之裔，可为盟主。」绍再三推辞。众皆曰：「非本初不可。」绍方应允。次日筑台三层，遍列五方旗帜，上建白旄黄钺，兵符将印，请绍登坛。绍整衣佩剑，慨然而上，焚香再拜。其盟曰：汉室不幸，皇纲失统。贼臣董卓，乘衅纵害，祸加至尊，虐流百姓。绍等惧社稷沦丧，纠合义兵，并赴国难。凡我同盟，齐心戮力，以致臣节，必无二志。有渝此盟，俾坠其命，无克遗育。皇天后土，祖宗明灵，实皆鉴之！ || Chapter 5, P005-016: 绍举目遍视，见公孙瓒背后立著三人，容貌异常，都在那里冷笑。绍问曰：「公孙太守背后何人？」瓒呼玄德出曰：「此吾自幼同舍兄弟，平原令刘备是也。」曹操曰：「莫非破黄巾刘玄德乎？」瓒曰：「然。」即令刘玄德拜见。瓒将玄德功劳，并其出身，细说一遍。绍曰：「既是汉室宗派，取坐来。」命坐。备逊谢。绍曰：「吾非敬汝名爵，吾敬汝是帝室之胄耳。」玄德乃坐于末位，关、张叉手侍立于后。",same_body_paragraph
关羽,刘备,169,49,1;2;5;7;11;13;14;16;18;19;20;21;22;24;25;26;27;28;31;34;35;36;37;38;39;40;41;42;45;49;50;51;52;53;56;60;63;65;66;67;73;77;78;79;80;81;82;83;85,"Chapter 1, P001-013: 正饮间，见一大汉，推著一辆车子，到店门首歇了；入店坐下，便唤酒保：「快斟酒来吃，我待赶入城去投军。」玄德看其人：身长九尺，髯长二尺：面如重枣，唇若涂脂；丹凤眼，卧蚕眉：相貌堂堂，威风凛凛。玄德就邀他同坐，叩其姓名。其人曰：「吾姓关，名羽，字寿长，后改云长，河东解良人也。因本处势豪，倚势凌人，被吾杀了；逃难江湖，五六年矣。今闻此处招军破贼，特来应募。」玄德遂以己志告之。云长大喜。同到张飞庄上，共议大事。 || Chapter 1, P001-014: 飞曰：「吾庄后有一桃园，花开正盛；明日当于园中祭告天地，我三人结为兄弟，协力同心，然后可图大事。」玄德、云长、齐声应曰：「如此甚好。」次日，于桃园中，备下乌牛白马祭礼等项，三人焚香，再拜而说誓曰：「念刘备、关羽、张飞，虽然异姓，既结为兄弟，则同心协力，救困扶危；上报国家，下安黎庶；不求同年同月同日生，但愿同年同月同日死。皇天后土，实鉴此心。背义忘恩，天人共戮。」誓毕，拜玄德为兄，关羽次之，张飞为弟。祭罢天地，复宰牛设酒，聚乡中勇士，得三百余人，就桃园中痛饮一醉。来日收拾军器，但恨无马匹可乘。 || Chapter 1, P001-015: 正思虑间，人报「有两个客人，引一伙伴儅，赶一群马，投庄上来。」玄德曰：「此天佑我也！」三人出庄迎接。原来二客乃中山大商：一名张世平，一名苏双，每年往北贩马，近因寇发而回。玄德请二人到庄，置酒管待，诉说欲讨贼安民之意。二客大喜，愿将良马五十匹相送；又赠金银五百两，镔铁一千斤，以资器用。玄德谢别二客，便命良匠打造双股剑。云长造青龙偃月刀，又名冷艳锯，重八十二斤。张飞造丈八点钢矛。各置全身铠甲。共聚乡勇五百余人，来见邹靖。邹靖引见太守刘焉。三人参见毕，各通姓名。玄德说起宗派，刘焉大喜，遂认玄德为姪。",same_body_paragraph
刘备,张飞,152,46,1;2;5;6;7;11;13;14;15;16;18;19;21;22;24;25;28;31;34;35;36;37;38;39;40;41;42;45;51;52;53;56;57;60;63;64;65;69;70;71;72;73;77;81;83;85,"Chapter 1, P001-012: 玄德回视其人：身长八尺，豹头环眼，燕颔虎须，声若巨雷，势如奔马。玄德见他形貌异常，问其姓名。其人曰：「某姓张，名飞，字翼德。世居涿郡，颇有庄田，卖酒屠猪，专好结交天下豪杰。适才见公看榜而叹，故此相问。」玄德曰：「我本汉室宗亲，姓刘，名备。今闻黄巾倡乱，有志欲破贼安民；恨力不能，故长叹耳。」飞曰：「吾颇有资财，当招募乡勇，与公同举大事，如何？」玄德甚喜，遂与同入村店中饮酒。 || Chapter 1, P001-013: 正饮间，见一大汉，推著一辆车子，到店门首歇了；入店坐下，便唤酒保：「快斟酒来吃，我待赶入城去投军。」玄德看其人：身长九尺，髯长二尺：面如重枣，唇若涂脂；丹凤眼，卧蚕眉：相貌堂堂，威风凛凛。玄德就邀他同坐，叩其姓名。其人曰：「吾姓关，名羽，字寿长，后改云长，河东解良人也。因本处势豪，倚势凌人，被吾杀了；逃难江湖，五六年矣。今闻此处招军破贼，特来应募。」玄德遂以己志告之。云长大喜。同到张飞庄上，共议大事。 || Chapter 1, P001-014: 飞曰：「吾庄后有一桃园，花开正盛；明日当于园中祭告天地，我三人结为兄弟，协力同心，然后可图大事。」玄德、云长、齐声应曰：「如此甚好。」次日，于桃园中，备下乌牛白马祭礼等项，三人焚香，再拜而说誓曰：「念刘备、关羽、张飞，虽然异姓，既结为兄弟，则同心协力，救困扶危；上报国家，下安黎庶；不求同年同月同日生，但愿同年同月同日死。皇天后土，实鉴此心。背义忘恩，天人共戮。」誓毕，拜玄德为兄，关羽次之，张飞为弟。祭罢天地，复宰牛设酒，聚乡中勇士，得三百余人，就桃园中痛饮一醉。来日收拾军器，但恨无马匹可乘。",same_body_paragraph
刘备,赵云,118,32,7;11;21;28;31;34;35;36;39;40;41;42;45;49;51;52;53;54;55;56;57;60;64;65;70;71;72;73;80;81;84;85,"Chapter 7, P007-014: 正说之间，忽见赵云冲到面前。弓箭手急待射时，云连刺数人，众军皆走。后面瓒军团团围裹上来。田丰慌对绍曰：「主公且于空墙中躲避！」绍以兜鍪扑地，大呼曰：「大丈夫愿临阵斗死，岂可入墙而望活乎！」众军士齐心死战，赵云冲突不入，绍兵大队掩至，颜良亦引军来到，两路并杀。赵云保公孙瓒杀透重围，回到界桥。绍驱兵大进，复赶过桥，落水死者，不计其数。袁绍当先赶来，不到五里，只听得山背后喊声大起，闪出一彪人马，为首三员大将，乃是刘玄德，关云长，张翼德。因在平原探知公孙瓒与袁绍相争，特来助战。当下三匹马，三般兵器，飞奔前来，直取袁绍。绍惊得魂飞天外，手中宝刀坠于马下，忙拨马而逃，众人死救过桥。公孙瓒亦收军归寨。玄德、关、张动问毕，瓒曰：「若非玄德远来救我，几乎狼狈。」教与赵云相见。玄德甚相敬爱，便有不舍之心。 || Chapter 7, P007-015: 却说袁绍输了一阵，坚守不出。两军相拒月余，有人来长安报知董卓。李儒对卓曰：「袁绍与公孙瓒，亦当今豪杰。见在磐河厮杀，宜假天子之诏，差人往和解之。二人感德，必顺太师矣。」卓大喜。次日便使太傅马日䃅、太仆赵岐，赍诏前去。二人来至河北，绍出迎于百里之外，再拜奉诏。次日二人至瓒营宣谕，瓒乃遣使致书于绍，互相讲和；二人自回京复命。瓒即日班师，又表荐刘玄德为平原相。玄德与赵云分别，执手垂泪，不忍相离。云叹曰：「某日误认公孙瓒为英雄；今观所为，亦袁绍等辈耳！」玄德曰：「公且屈身事之，相见有日。」洒泪而别。 || Chapter 11, P011-012: 不说孔融起兵。且说玄德离北海来见公孙瓒，且说欲救徐州之事。瓒曰：「曹操与君无雠，何苦替人出力？」玄德曰：「备已许人，不敢失信。」瓒曰：「我借与君马步军二千。」玄德曰：「更望借赵子龙一行。」瓒许之。玄德遂与关、张引本部三千人为前部，子龙引二千人随后，往徐州来。",same_body_paragraph
司马懿,诸葛亮,106,17,67;85;86;91;94;95;96;97;98;99;100;101;102;103;104;106;107,"Chapter 67, P067-019: 曹操已得东川。主簿司马懿进曰：「刘备以诈力取刘璋、蜀人尚未归心。今主公已得汉中，益州震动。可速进兵攻之，势必瓦解。知者贵于乘时，时不可失也。」曹操叹曰：「人苦不知足，既得陇，复望蜀耶﹖」刘晔曰：「司马仲达之言是也。若少迟缓，诸葛亮明于治国而为相，关张等勇冠三军而为将，蜀民既定，据守关隘，不可犯矣。」操曰：「士卒远涉劳苦，且宜存恤。」遂按兵不动。 || Chapter 85, P085-020: 正言间，忽一人从班部中奋然而出曰：「不乘此时进兵，更待何时？」众视之，乃司马懿也。丕大喜，遂问计于懿。懿曰：「若只起中国之兵，急难取胜。须用五路大兵，四面夹攻，令诸葛亮首尾不能救应，然后可图。」 || Chapter 86, P086-016: 却说吴王见张温入蜀未还，乃聚文武商议。忽近臣奏曰；「蜀遣邓芝同张温入国答礼。」权召入。张温拜于殿前，备称后主、孔明之德，愿求永结盟好，特遣邓尚书又来答礼。权大喜，乃设宴待之。权问邓芝曰：「若吴、蜀二国同心灭魏，得天下太平，二主分治，岂不乐乎？」芝答曰：「『天无二日，民无二王』。如灭魏之后，未识天命所归何人。但为君者，各修其德；为臣者，各尽其忠，则战争方息耳。」权大笑曰：「君之诚款，乃如是耶！」遂厚赠邓芝还蜀。自此吴、蜀通好。却说魏国细作人探知此事，火速报入中原。魏主曹丕听知，大怒曰：「吴、蜀连和，必有图中原之意也。不若朕先伐之。」于是大集文武，商议起兵伐吴。此时大司马曹仁、太尉贾诩已亡。侍中辛毗出班奏曰：「中原之地，土阔民稀，而欲用兵，未见其利。今日之计，莫若养兵屯田十年，足食足兵，然后用之，则吴、蜀方可破也。」丕怒曰：「此迂儒之论也！今吴、蜀连和，早晚必来侵境，何暇等待十年？」即传旨起兵伐吴。司马懿奏曰：「吴有长江之险，非船莫渡。陛下必御驾亲征，可选大小战船，从蔡颍而入淮，取寿春，至广陵，渡江口，迳取南徐：此为上策。」",same_body_paragraph
曹操,诸葛亮,100,36,36;37;38;39;40;41;42;43;44;45;46;49;50;51;52;54;55;56;57;58;60;62;63;64;65;67;70;71;72;73;76;78;81;88;94;120,"Chapter 36, P036-024: 且说徐庶既别玄德，感其留恋之情，恐孔明不肯出山辅之，遂乘马直至卧龙冈下，入草庐见孔明。孔明问其来意。庶曰：「庶本欲事刘豫州，奈老母为曹操所囚，驰书来召，只得舍之而往。临行时，将公荐与玄德。玄德即日将来奉谒，望公勿推阻，即展平生之大才以辅之，幸甚。」 || Chapter 37, P037-006: 却说玄德正安排礼物，欲往隆中谒诸葛亮，忽人报：「门外有一先生，峨冠博带，道貌非常，特来相探。」玄德曰：「此莫非即孔明否？」遂整衣出迎。视之，乃司马徽也。玄德大喜，请入后堂高坐，拜问曰：「备自别仙颜，日因军务倥偬，有失拜访。今得光降，大慰仰慕之私。」徽曰：「闻徐元直在此，特来一会。」玄德曰：「近因曹操囚其母，徐母遣人驰书唤回许昌去矣。」徽曰：「此中曹操之计矣！吾素闻徐母最贤，虽为操所囚，必不肯驰书召其子。此书必诈也。元直不去，其母尚存；今若去，母必死矣。」 || Chapter 38, P038-008: 孔明曰：「自董卓造逆以来，天下豪杰并起。曹操势不及袁绍，而竟能克绍者，非惟天时，抑亦人谋也。今操已拥百万之众，挟天子以令诸侯，此诚不可与争锋。孙权据有江东，已历三世，国险而民附，此可用为援，而不可图也。荆州北据汉沔，利尽南海，东连吴会，西通巴蜀，此用武之地，非其主不能守。是殆天所以资将军，将军岂可弃乎？益州险塞，沃野千里，天府之国，高祖因之以成帝业。今刘璋暗弱，民殷国富，而不知存恤，智能之士，思得明君。将军既帝室之胄，信义著于四海，总揽英雄，思贤如渴，若跨有荆益，保其岩阻，西和诸戎，南抚彝越，外结孙权，内修政理；待天下有变，则命一上将，将荆州之兵，以向宛洛；将军身率益州之众，以出秦川，百姓有不箪食壸浆以迎将军者乎？诚如是，则大业可成，汉室可兴矣。此亮所以为将军谋者也。惟将军图之。」言罢，命童子取出画一轴，挂于中堂，指谓玄德曰：「此西川五十四州之图也。将军欲成霸业，北让曹操占天时，南让孙权占地利，将军可占人和。先取荆州为家，后即取西川建基业，以成鼎足之势，然后可图中原也。」",same_body_paragraph
诸葛亮,魏延,98,32,41;53;56;60;63;64;65;70;71;72;73;81;85;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105,"Chapter 41, P041-009: 两下军兵在城边混杀，喊声大震。玄德曰：「本欲保民，反害民也！吾不愿入襄阳！」孔明曰：「江陵乃荆州要地，不如先取江陵为家。」玄德曰：「正合吾心。」于是引著百姓，尽离襄阳大路，望江陵而走。襄阳城中百姓，多有乘乱逃出城来，跟玄德而去。魏延与文聘交战，从已至未，手下兵卒，皆已折尽。延乃拨马而逃，却寻不见玄德，自投长沙太守韩玄去了。 || Chapter 53, P053-014: 众视其人，面如重枣，目若朗星，乃义阳人魏延也；自襄阳赶刘玄德不著，来投韩玄；玄怪其傲慢少礼，不肯重用，故屈沈于此。当日救了黄忠，教百姓同杀韩玄，袒臂一呼，相从者数百余人。黄忠拦当不住。魏延直杀上城头，一刀砍韩玄为两段，提头上马，引百姓出城，投拜云长。云长大喜，遂入城安抚已毕，请黄忠相见。忠托病不出。云长即使人去请玄德、孔明。 || Chapter 53, P053-018: 玄德待黄忠甚厚。云长引魏延来见，孔明喝令刀斧手推出斩之。玄德惊问孔明曰：「魏延乃有功无罪之人，军师何故欲杀之？」孔明曰：「食其禄而杀其主，是不忠也；居其土而献其地，是不义也。吾观魏延脑后有反骨，久后必反，故先斩之，以绝祸根。」玄德曰：「若杀此人，恐降者人人自危；望军师恕之。」孔明指魏延曰：「吾今饶汝性命。汝可尽忠报主，勿生异心，若生异心，我好歹取汝首级。」",same_body_paragraph
关羽,曹操,97,36,5;14;16;18;20;21;22;24;25;26;27;28;31;39;40;41;42;43;45;49;50;60;63;65;66;67;73;74;75;76;77;78;79;81;82;97,"Chapter 5, P005-017: 忽探子来报：「华雄引铁骑下关，用长竿挑著孙太守赤帻，来寨前大骂搦战。」绍曰：「谁敢去战？」袁术背后转出骁将俞涉曰：「小将愿往。」绍喜，便著俞涉出马。即时报来：「俞涉与华雄战不三合，被华雄斩了。」众大惊。太守韩馥曰：「吾有上将潘凤，可斩华雄。」绍急令出战。潘凤手提大斧上马。去不多时，飞马来报：「潘凤又被华雄斩了。」众皆失色。绍曰：「可惜吾上将颜良、文丑未至！得一人在此，何惧华雄？」言未毕，阶下一人大呼出曰：「小将军愿往斩华雄头，献于帐下！」众视之，见其人身长九尺，髯长二尺；丹凤眼，卧蚕眉；面如重枣，声如巨钟；立于帐前。绍问何人。公孙瓒曰：「此刘玄德之弟关羽也。」绍问见居何职。瓒曰：「跟随刘玄德充马弓手。」帐上袁术大喝曰：「汝欺吾众诸侯无大将耶？量一弓手，安敢乱言！与我打出！」曹操急止之曰：「公路息怒：此人既出大言，必有勇略；试教出马，如其不胜，责之未迟。」袁绍曰：「使一弓手出战，必被华雄所笑。」操曰：「此人仪表不俗，华雄安知他是弓手？」关公曰：「如不胜，请斩某头。」 || Chapter 5, P005-026: 这三个围住吕布，转灯儿般厮杀。八路人马，都看得呆了。吕布架隔遮拦不定，看著玄德面上，虚刺一戟，玄德急闪。吕布荡开阵角，倒拖画戟，飞马便回。三个那里肯舍，拍马赶来。八路军兵，喊声大震，一齐掩杀。吕布军马，望关上奔走；玄德、关、张随后赶来。古人曾有篇言语，单道著玄德、关、张三战吕布：汉朝天数当桓灵，炎炎红日将西倾。奸臣董卓废少帝，刘协懦弱魂梦惊。曹操传檄告天下，诸侯奋怒皆兴兵。议立袁绍作盟主，誓扶王室定太平。温侯吕布世无比，雄才四海夸英伟。护躯银铠砌龙鳞，束发金冠簪雉尾。参差宝带兽平吞，错落锦袍飞凤起。龙驹跳踏起天风，画戟荧煌射秋水。出关搦战谁敢当？诸侯胆裂心惶惶。踊出燕人张翼德，手持蛇矛丈八鎗。虎须倒竖翻金线，环眼圆睁起电光。酣战未能分胜败，阵前恼起关云长。青龙宝刀灿霜雪，鹦鹉战袍飞蛱蝶。马蹄到处鬼神嚎，目前一怒应流血。枭雄玄德掣双锋，抖擞天威施勇烈。三人围绕战多时，遮拦架隔无休歇。喊声震动天地翻，杀气迷漫牛斗寒。吕布力穷寻走路，遥望山塞拍马还。倒拖画杆方天戟，乱散销金五彩旛。顿断绒走赤兔，翻身飞上虎牢关。三人直赶吕布到关下，看见关上西风飘动青罗伞盖。张飞大叫：「此必董卓！追吕布有甚强处！不如先拿董贼，便是斩草除根！」拍马上关，来擒董卓。正是：擒贼定须擒贼首，奇功端的待奇人。未知胜负如何，且听下文分解。 || Chapter 14, P014-026: 吕布再三拜谢。备留布饮酒，至晚方回。关、张曰：「兄长何故不杀吕布？」玄德曰：「此曹孟德恐我与吕布同谋伐之，故用此计，使我两人自相吞并，彼却于中取利。奈何为所使乎？」关公点头道是。张飞曰：「我只要杀此贼以绝后患！」玄德曰：「此非大丈夫之所为也。」",same_body_paragraph
诸葛亮,赵云,96,37,39;40;41;43;45;49;50;51;52;53;54;55;56;57;60;63;64;65;70;71;72;73;80;81;85;86;87;88;89;90;91;92;93;94;95;96;97,"Chapter 39, P039-022: 孔明令曰：「博望之左有山，名曰豫山；右有林，名曰安林；可以埋伏军马。云长可引一千军往豫山之前，先且埋伏，等彼军至，放过休敌。其辎重粮草，必在后面。但看南面火起，可纵兵出击，就焚其粮草。翼德可引一千军去安林背后山谷中埋伏，只看南面火起，便可出，向博望城旧屯粮草处纵火烧之。关平、刘封可引兵五百军，预备引火之物，于博望坡后两边等候，至初更兵到，便可放火矣。」──又命于樊城取回赵云，令为前部，不要赢，只要输。──「主公自引一军为后援。各须依计而行，勿使有失。」 || Chapter 39, P039-026: 惇令于禁、李典押住阵脚，亲自出马阵前。遥望军马来到，惇忽然大笑。众问：「将军为何而笑？」惇曰：「吾笑徐元直在丞相面前，夸诸葛亮为天人！今观其用兵，乃以此等军马为前部，与吾对敌，正如驱犬羊与虎豹斗耳！吾于丞相前夸口，要活捉刘备、诸葛亮，今必应吾言矣。」遂自纵马向前。赵云出马。惇骂曰：「汝等随刘备，如孤魂随鬼耳！」 || Chapter 39, P039-033: 却说孔明收军，关、张二人相谓曰：「孔明真英杰也！」行不数里，见糜竺、糜芳引军簇拥著一辆小军，车中端坐一人，乃孔明也。关、张下马拜伏于车前。须臾，玄德、赵云、刘封、关平等皆至，收聚众军，把所获粮草辎重，分赏将士，班师回新野。新野百姓望尘遮道而拜，曰：「吾属生全，皆使君得贤人之力也！」",same_body_paragraph
