canonical_name,raw_mention_frequency,degree,weighted_degree,degree_centrality,betweenness_centrality,pagerank,community_id
刘备,2283,73,1996,0.8902439024390244,0.07116441438122224,0.09061174931637671,4
诸葛亮,1843,66,1624,0.8048780487804879,0.05528273487219607,0.07393359876381374,1
曹操,975,76,1522,0.926829268292683,0.09911284047653787,0.07357132025896866,2
关羽,966,61,849,0.7439024390243902,0.046451579385677066,0.03842709166297781,4
张飞,423,46,642,0.5609756097560976,0.019378929197031488,0.028724507443689127,4
赵云,410,50,638,0.6097560975609756,0.02765544724717054,0.028884476504822246,4
孙权,322,58,569,0.7073170731707318,0.03059188490044318,0.027655668333228543,3
袁绍,251,56,481,0.6829268292682927,0.031717750098373555,0.025049897760367337,2
魏延,334,40,480,0.4878048780487805,0.015560550542636442,0.022647784061443306,1
吕布,382,42,403,0.5121951219512195,0.015795653396679307,0.021588608576242813,2
周瑜,301,36,373,0.43902439024390244,0.007380182840181112,0.018293632025248713,3
司马懿,290,36,366,0.43902439024390244,0.012302498097752357,0.019107834491785696,1
姜维,304,29,332,0.3536585365853659,0.006355933960495202,0.018576366112331738,1
鲁肃,208,34,331,0.41463414634146345,0.007396943001543221,0.016046805385248258,3
黄忠,198,31,304,0.3780487804878049,0.004644990129436112,0.014459916447669913,4
张郃,192,36,291,0.43902439024390244,0.0088926969579466,0.014643193000590369,1
张辽,147,34,284,0.41463414634146345,0.006548221702554186,0.014430095668193114,2
刘表,128,47,263,0.5731707317073171,0.016570411302735715,0.014365512254676315,2
徐晃,140,38,256,0.4634146341463415,0.01061858919275374,0.013377336397503933,2
夏侯惇,117,39,253,0.475609756097561,0.011282622102252778,0.013376680010040753,2
许褚,129,33,239,0.4024390243902439,0.004501441567096407,0.012512329159904498,2
孙乾,104,33,237,0.4024390243902439,0.007247211290852509,0.01180492822099661,4
马超,217,35,230,0.4268292682926829,0.008808321832725516,0.012035446732636748,2
刘璋,95,31,208,0.3780487804878049,0.0046065232333100704,0.010788442782437208,4
刘禅,219,31,194,0.3780487804878049,0.007817648908839,0.01109815037246234,1
董卓,123,35,187,0.4268292682926829,0.008962239871807439,0.011831884078017099,2
曹洪,96,38,173,0.4634146341463415,0.00759612530246093,0.009770571513767154,2
孟达,94,28,172,0.34146341463414637,0.0032618889670796044,0.009170761129525832,1
王平,102,21,171,0.25609756097560976,0.002002000398548747,0.009235002242219684,1
荀彧,57,31,163,0.3780487804878049,0.00491922684229503,0.009769737018589275,2
曹真,97,32,161,0.3902439024390244,0.005296582222253372,0.00914341958208067,1
张昭,68,26,159,0.3170731707317073,0.004789516555536652,0.009265184018158047,3
庞统,99,24,153,0.29268292682926833,0.0028443832066212204,0.00840152033774979,4
吕蒙,91,28,152,0.34146341463414637,0.0031778192394931208,0.008417115133329694,3
曹丕,90,36,144,0.43902439024390244,0.008580346132103723,0.008693779263512964,3
关兴,105,24,140,0.29268292682926833,0.0017194006734422135,0.007763003569146777,1
法正,56,20,132,0.24390243902439024,0.00100876572469805,0.007395893415954304,4
邓艾,166,19,132,0.23170731707317074,0.0019086435484266901,0.008832735992466872,1
陆逊,91,27,130,0.32926829268292684,0.004172815371238617,0.007773322738473952,3
程昱,45,32,128,0.3902439024390244,0.0068837165693677324,0.008019344182481241,2
郭淮,82,21,124,0.25609756097560976,0.002268685700481333,0.007617004615180487,1
孙策,116,36,122,0.43902439024390244,0.011313279711964849,0.008189176609290938,3
司马昭,94,19,116,0.23170731707317074,0.0019761313939555946,0.008001901834393803,1
孟获,159,14,116,0.17073170731707318,0.0006945038102378356,0.006667924150577957,1
黄盖,87,30,115,0.36585365853658536,0.00550202136822515,0.007569448760660755,3
贾诩,59,37,112,0.45121951219512196,0.010676853478132266,0.007627678212741967,2
公孙瓒,45,24,106,0.29268292682926833,0.003091133346157256,0.0068155330938208915,2
刘琦,42,14,99,0.17073170731707318,0.00011875867445761042,0.005843283474900754,4
诸葛瑾,50,22,97,0.2682926829268293,0.0016401218527187257,0.005984339753854852,3
陈宫,63,18,95,0.21951219512195122,0.0005182679640719818,0.006070823672784811,2
曹叡,46,21,91,0.25609756097560976,0.001306118095857204,0.0059188622199417154,1
蔡瑁,64,18,90,0.21951219512195122,0.0005936588992956081,0.005721741814106302,4
郭嘉,48,24,90,0.29268292682926833,0.0025624161463721163,0.006064813502669794,2
马腾,56,32,83,0.3902439024390244,0.007535807626423664,0.006075696689267276,2
孙坚,58,26,80,0.3170731707317073,0.0034610572677329123,0.005980069738994347,2
荀攸,29,27,80,0.32926829268292684,0.002697267809920069,0.005605108559786961,2
张松,34,17,76,0.20731707317073172,0.0014625218068386292,0.005256194923925106,4
孔融,44,22,75,0.2682926829268293,0.0023529296548563043,0.005513438700665268,2
夏侯霸,53,10,71,0.12195121951219512,0.00011165405688367392,0.005365165155104097,1
邓芝,48,25,71,0.3048780487804878,0.002121179433775108,0.0048147608913373325,1
钟会,63,18,69,0.21951219512195122,0.001321213647536988,0.005471973271184595,1
陈登,40,14,68,0.17073170731707318,0.0002970907376129442,0.004704730279610968,4
郭汜,66,21,65,0.25609756097560976,0.0030485585715717928,0.005531219636486444,2
司马师,58,18,62,0.21951219512195122,0.0021847286222091956,0.004975980021740058,1
徐庶,45,11,60,0.13414634146341464,0.00023097365012450828,0.004487833555151999,2
董承,53,20,59,0.24390243902439024,0.0017456146202116944,0.005336078237956294,2
顾雍,17,17,58,0.20731707317073172,0.0004016411982711702,0.004474961578496834,3
王允,37,19,57,0.23170731707317074,0.0012027178667276441,0.005068660292304141,2
李儒,35,13,56,0.15853658536585366,0.00034253712336757534,0.004872263778720908,2
许攸,32,21,54,0.25609756097560976,0.0009483766961292409,0.004355891924958287,2
华歆,38,19,53,0.23170731707317074,0.0024528101755876106,0.004568034710723113,3
吴国太,54,9,53,0.10975609756097561,4.391247616179865e-05,0.00393863077542603,4
太史慈,64,15,52,0.18292682926829268,0.0004920730404284259,0.004351764487512457,3
阚泽,23,13,44,0.15853658536585366,0.00014087087257818966,0.0038866054583533193,3
田丰,28,13,43,0.15853658536585366,0.00021883010684222226,0.0037516085081354925,2
司马徽,38,11,40,0.13414634146341464,0.00015826958013046542,0.0035063437579940264,4
李肃,19,11,39,0.13414634146341464,0.00011506109067084677,0.004028796944298273,2
祢衡,19,14,29,0.17073170731707318,0.0004933209143050261,0.0032101817932590005,2
吉平,19,9,21,0.10975609756097561,0.00030837312341377385,0.003165356783764237,2
费祎,12,7,18,0.08536585365853659,2.316262478864105e-05,0.002569141008308192,1
杨修,15,8,17,0.0975609756097561,0.00011628759517687681,0.0025661665181473067,2
管辂,19,11,17,0.13414634146341464,0.0002475992892708654,0.0025524292985209377,2
华佗,19,7,11,0.08536585365853659,0.00018117454750644612,0.002427735045811929,3
