source,target,weight,chapter_count,explicit_target_events,adjacent_turn_events,sample_evidence,relation_definition
诸葛亮,刘备,49,20,5,44,"Chapter 38, P038-007: 二人叙礼，分宾主而坐。童子献茶。茶罢，孔明曰：「昨观书意，足见将军忧民忧国之心；但恨亮年幼才疏，有误下问。」玄德曰：「司马德操之言，徐元直之语，岂虚谈哉？望先生不弃鄙贱，曲赐教诲。」孔明曰：「德操、元直，世之高士。亮乃一耕夫耳，安敢谈天下事？二公谬举矣。将军奈何舍美玉而求顽石乎？」玄德曰：「大丈夫抱经世奇才，岂可空老于林泉之下？愿先生以天下苍生为念，开备愚鲁而赐教。」孔明笑曰：「愿闻将军之志。」玄德屏人促席而告曰：「汉室倾颓，奸臣窃命，备不量力，欲伸大义于天下，而智术浅短，迄无所就。惟先生开其愚而拯厄，实为万幸。」 || Chapter 38, P038-007: 二人叙礼，分宾主而坐。童子献茶。茶罢，孔明曰：「昨观书意，足见将军忧民忧国之心；但恨亮年幼才疏，有误下问。」玄德曰：「司马德操之言，徐元直之语，岂虚谈哉？望先生不弃鄙贱，曲赐教诲。」孔明曰：「德操、元直，世之高士。亮乃一耕夫耳，安敢谈天下事？二公谬举矣。将军奈何舍美玉而求顽石乎？」玄德曰：「大丈夫抱经世奇才，岂可空老于林泉之下？愿先生以天下苍生为念，开备愚鲁而赐教。」孔明笑曰：「愿闻将军之志。」玄德屏人促席而告曰：「汉室倾颓，奸臣窃命，备不量力，欲伸大义于天下，而智术浅短，迄无所就。惟先生开其愚而拯厄，实为万幸。」 || Chapter 38, P038-008: 孔明曰：「自董卓造逆以来，天下豪杰并起。曹操势不及袁绍，而竟能克绍者，非惟天时，抑亦人谋也。今操已拥百万之众，挟天子以令诸侯，此诚不可与争锋。孙权据有江东，已历三世，国险而民附，此可用为援，而不可图也。荆州北据汉沔，利尽南海，东连吴会，西通巴蜀，此用武之地，非其主不能守。是殆天所以资将军，将军岂可弃乎？益州险塞，沃野千里，天府之国，高祖因之以成帝业。今刘璋暗弱，民殷国富，而不知存恤，智能之士，思得明君。将军既帝室之胄，信义著于四海，总揽英雄，思贤如渴，若跨有荆益，保其岩阻，西和诸戎，南抚彝越，外结孙权，内修政理；待天下有变，则命一上将，将荆州之兵，以向宛洛；将军身率益州之众，以出秦川，百姓有不箪食壸浆以迎将军者乎？诚如是，则大业可成，汉室可兴矣。此亮所以为将军谋者也。惟将军图之。」言罢，命童子取出画一轴，挂于中堂，指谓玄德曰：「此西川五十四州之图也。将军欲成霸业，北让曹操占天时，南让孙权占地利，将军可占人和。先取荆州为家，后即取西川建基业，以成鼎足之势，然后可图中原也。」",named_dialogue_transition
刘备,诸葛亮,47,21,8,39,"Chapter 38, P038-007: 二人叙礼，分宾主而坐。童子献茶。茶罢，孔明曰：「昨观书意，足见将军忧民忧国之心；但恨亮年幼才疏，有误下问。」玄德曰：「司马德操之言，徐元直之语，岂虚谈哉？望先生不弃鄙贱，曲赐教诲。」孔明曰：「德操、元直，世之高士。亮乃一耕夫耳，安敢谈天下事？二公谬举矣。将军奈何舍美玉而求顽石乎？」玄德曰：「大丈夫抱经世奇才，岂可空老于林泉之下？愿先生以天下苍生为念，开备愚鲁而赐教。」孔明笑曰：「愿闻将军之志。」玄德屏人促席而告曰：「汉室倾颓，奸臣窃命，备不量力，欲伸大义于天下，而智术浅短，迄无所就。惟先生开其愚而拯厄，实为万幸。」 || Chapter 38, P038-007: 二人叙礼，分宾主而坐。童子献茶。茶罢，孔明曰：「昨观书意，足见将军忧民忧国之心；但恨亮年幼才疏，有误下问。」玄德曰：「司马德操之言，徐元直之语，岂虚谈哉？望先生不弃鄙贱，曲赐教诲。」孔明曰：「德操、元直，世之高士。亮乃一耕夫耳，安敢谈天下事？二公谬举矣。将军奈何舍美玉而求顽石乎？」玄德曰：「大丈夫抱经世奇才，岂可空老于林泉之下？愿先生以天下苍生为念，开备愚鲁而赐教。」孔明笑曰：「愿闻将军之志。」玄德屏人促席而告曰：「汉室倾颓，奸臣窃命，备不量力，欲伸大义于天下，而智术浅短，迄无所就。惟先生开其愚而拯厄，实为万幸。」 || Chapter 39, P039-010: 孔明以目视玄德。玄德曰：「容徐思良策。」遂辞出，回至馆驿。孔明曰：「景升欲以荆州付主公，奈何却之？」玄德曰：「景升待我，恩礼交至，安忍乘其危而夺之？」孔明叹曰：「真仁慈之主也！」",named_dialogue_transition
张飞,刘备,23,12,0,23,"Chapter 11, P011-022: 玄德坚执不肯。陶谦泣下曰：「君若舍我而去，我死不瞑目矣！」云长曰：「既承陶公相让，兄且权领州事。」张飞曰：「又不是我强要他的州郡；他好意相让，何必苦苦推辞？」玄德曰：「汝等欲陷我于不义耶？」陶谦推让再三，玄德只是不受。陶谦曰：「如玄德必不肯从，此间近邑，名小沛，足可屯军。请玄德暂驻军此邑，以保徐州，何如？」众皆劝玄德留小沛，玄德从之。陶谦劳军已毕，赵云辞去，玄德执手挥泪而别。孔融、田楷亦各相别，引军自回。玄德与关、张引本部军来至小沛，修葺城垣，抚谕居民。 || Chapter 14, P014-024: 却说刘玄德在徐州，闻帝幸许都，正欲上表庆贺。忽报天使至，出郭迎接入郡，拜受恩命毕，设宴管待来使。使曰：「君侯得此恩命，实曹将军于帝前保荐之力也。」玄德称谢。使者乃取出私书递与玄德。玄德看罢，曰：「此事尚容计议。」席散，安歇来使于馆驿。玄德夜与众商议此事。张飞曰：「吕布本无义之人，杀之何碍？」玄德曰：「他势穷而来投我，我若杀之，亦是不义。」张飞曰：「好人难做！」玄德不从。 || Chapter 14, P014-026: 吕布再三拜谢。备留布饮酒，至晚方回。关、张曰：「兄长何故不杀吕布？」玄德曰：「此曹孟德恐我与吕布同谋伐之，故用此计，使我两人自相吞并，彼却于中取利。奈何为所使乎？」关公点头道是。张飞曰：「我只要杀此贼以绝后患！」玄德曰：「此非大丈夫之所为也。」",named_dialogue_transition
关羽,刘备,17,11,1,16,"Chapter 14, P014-029: 遂点军马，克日起程。孙干曰：「可先定守城之人。」玄德曰：「二弟之中，谁人可守？」关公曰：「弟愿守此城。」玄德曰：「吾早晚欲与尔议事，岂可相离？」张飞曰：「小弟愿守此城。」玄德曰：「你守不得此城。你一者酒后刚强，鞭打士卒；二者作事轻易，不从人谏。吾不于心。」 || Chapter 20, P020-011: 围场已罢，宴于许田。宴毕，驾回许都。众人各自归歇。云长问玄德曰：「操贼欺君罔上，我欲杀之，为国除害，兄何止我？」玄德曰：「『投鼠忌器』。操与帝相离只一马头，其心腹之人，周回拥侍；吾弟若逞一时之怒，轻有举动，倘事不成，有伤天子，罪反坐我等矣。」云长曰：「今日不杀此贼，后必为祸。」玄德曰：「且宜秘之，不可轻言。」 || Chapter 20, P020-011: 围场已罢，宴于许田。宴毕，驾回许都。众人各自归歇。云长问玄德曰：「操贼欺君罔上，我欲杀之，为国除害，兄何止我？」玄德曰：「『投鼠忌器』。操与帝相离只一马头，其心腹之人，周回拥侍；吾弟若逞一时之怒，轻有举动，倘事不成，有伤天子，罪反坐我等矣。」云长曰：「今日不杀此贼，后必为祸。」玄德曰：「且宜秘之，不可轻言。」",named_dialogue_transition
刘备,张飞,16,10,1,15,"Chapter 5, P005-009: 且说北平太守公孙瓒，统领精兵一万五千，路经德州平原县。正行之间，遥见桑树丛中，一面黄旗，数骑来迎。瓒视之，乃刘玄德也。瓒问曰：「贤弟何故在此？」玄德曰：「旧日蒙兄保备为平原县令，今闻大军过此，特来奉候，就请兄长入城歇马。」瓒指关、张而问曰：「此何人也？」玄德曰：「此关羽，张飞，备结义兄弟也。」瓒曰：「乃同破黄巾者乎？」玄德曰：「皆此二人之力。」瓒曰：「今居何职？」玄德答曰：「关羽为马弓手，张飞为步弓手。」瓒叹曰：「如此可谓埋没英雄！今董卓作乱，天下诸侯，共往诛之。贤弟可弃此卑官，一同讨贼，力扶汉室，若何？」玄德曰：「愿往。」张飞曰：「当时若容我杀了此贼，免有今日之事。」云长曰：「事已至此，即当收拾前去。」 || Chapter 13, P013-003: 有人报知玄德。玄德曰：「布乃当今英勇之士，可出迎之。」糜竺曰：「吕布乃虎狼之徒，不可收留；收则伤人矣。」玄德曰：「前者非布袭兖州，怎解此郡之祸？今彼穷而投我，岂有他心？」张飞曰：「哥哥心肠忒好。虽然如此，也要准备。」 || Chapter 14, P014-024: 却说刘玄德在徐州，闻帝幸许都，正欲上表庆贺。忽报天使至，出郭迎接入郡，拜受恩命毕，设宴管待来使。使曰：「君侯得此恩命，实曹将军于帝前保荐之力也。」玄德称谢。使者乃取出私书递与玄德。玄德看罢，曰：「此事尚容计议。」席散，安歇来使于馆驿。玄德夜与众商议此事。张飞曰：「吕布本无义之人，杀之何碍？」玄德曰：「他势穷而来投我，我若杀之，亦是不义。」张飞曰：「好人难做！」玄德不从。",named_dialogue_transition
诸葛亮,关羽,13,4,0,13,"Chapter 39, P039-020: 却说玄德自得孔明，以师礼待之。关、张二人不悦曰：「孔明年幼，有甚才学！兄长待之太过！又未见他真实效验！」玄德曰：「吾得孔明，犹鱼之得水也。两弟勿复多言。」关、张见说，不言而退。一日，有人送牦牛尾至。玄德取尾亲自结帽。孔明入见，正色曰：「明公无复有远志，但事此而已耶？」玄德投帽于地而谢曰：「吾聊假此以忘忧耳。」孔明曰：「明公自度比曹操若何？」玄德曰：「不如也。」孔明曰：「明公之众，不过数千人，万一曹兵至，何以迎之？」玄德曰：「吾正愁此事，未得良策。」孔明曰：「可速招募民兵，亮自教之，可以待敌。」玄德遂招新野之民，得三千人。孔明朝夕教演阵法。忽报曹操差夏侯惇引兵十万，杀奔新野来了。张飞闻知，谓云长曰：「可著孔明前去迎敌便了。」 || Chapter 39, P039-021: 正说之间，玄德召二人入，谓曰：「夏侯惇引兵到来，如何迎敌？」张飞曰：「哥哥何不使『水』去？」玄德曰：「智赖孔明，勇须二弟，何可推诿？」关、张出，玄德请孔明商议。孔明曰：「但恐关、张二人，不肯听吾号令。主公若欲亮行兵，乞假剑印。」玄德便以剑印付孔明，孔明遂聚集众将听令。张飞谓云长曰：「且听令去．看他如何调度。」 || Chapter 49, P049-026: 时云长在侧，孔明全然不睬。云长忍耐不住，乃高声曰：「关某自随兄长征战多年来，未尝落后。今日逢大敌，军师却不委用，此是何意？」孔明笑曰：「云长勿怪！某本欲烦足下把一个最紧要的隘口，怎奈有些远碍处，不敢教去。」云长曰：「有何违碍？愿即见谕。」孔明曰：「昔日曹操待足下甚厚，足下当有以报之。今日操兵败，必走华容道。若令足下去时，必然放他过去。因此不敢教去。」",named_dialogue_transition
关羽,诸葛亮,12,4,0,12,"Chapter 39, P039-023: 云长曰：「我等皆出迎敌，未审军师却作何事？」孔明曰：「我只坐守此城。」张飞大笑曰：「我们都去厮杀，你却在家里坐地，好自在！」孔明曰：「剑印在此，违令者斩！」玄德曰：「岂不闻『运筹帷幄之中，决胜千里之外』？二弟不可违令。」张飞冷笑而去。云长曰：「我们且看他的计应也不应，那时却来问他未迟。」 || Chapter 49, P049-026: 时云长在侧，孔明全然不睬。云长忍耐不住，乃高声曰：「关某自随兄长征战多年来，未尝落后。今日逢大敌，军师却不委用，此是何意？」孔明笑曰：「云长勿怪！某本欲烦足下把一个最紧要的隘口，怎奈有些远碍处，不敢教去。」云长曰：「有何违碍？愿即见谕。」孔明曰：「昔日曹操待足下甚厚，足下当有以报之。今日操兵败，必走华容道。若令足下去时，必然放他过去。因此不敢教去。」 || Chapter 49, P049-027: 云长曰：「军师好多心！当日曹操果是重待某，某已斩颜良，诛文丑，解白马之围，报过他了。今日撞见，岂肯轻放！」孔明曰：「倘若放了时，却如何？」云长曰：「愿依军法。」孔明曰：「如此，立下军令状。」云长便与了军令状。云长曰：「若曹操不从那条路上来，如何？」孔明曰：「我亦与你军今状。」",named_dialogue_transition
刘备,关羽,9,6,0,9,"Chapter 14, P014-029: 遂点军马，克日起程。孙干曰：「可先定守城之人。」玄德曰：「二弟之中，谁人可守？」关公曰：「弟愿守此城。」玄德曰：「吾早晚欲与尔议事，岂可相离？」张飞曰：「小弟愿守此城。」玄德曰：「你守不得此城。你一者酒后刚强，鞭打士卒；二者作事轻易，不从人谏。吾不于心。」 || Chapter 14, P014-032: 那纪灵乃山东人，使一口三尖刀，重五十斤。是日引兵出，大骂：「刘备村夫，安敢侵吾境界！」玄德曰：「吾奉天子诏，以讨不臣。汝今敢来相拒，罪不容诛！」纪灵大怒，拍马舞刀，直取玄德。关公大喝曰：「匹夫休得逞强！」出马与纪灵大战。一连三十合，不分胜负。纪灵大叫少歇，关公便拨马回阵，立于阵前候之。纪灵却遣副将荀正出马。关公曰：「只教纪灵来，与他决个雌雄！」荀正曰：「汝乃无名下将，非纪将军对手！」关公大怒，直取荀正；交马一合，砍荀正于马下。玄德驱兵杀将过去，纪灵大败退守淮阴河口，不敢交战；只教军士来偷营劫寨，皆被徐州兵杀败。两军相拒，不在话下。 || Chapter 14, P014-040: 却说张飞引数十骑，直到盱眙见玄德，具说曹豹与吕布里应外合，夜袭徐州。众皆失色。玄德叹曰：「得何足喜，失何足忧！」关公曰：「嫂嫂安在？」飞曰：「皆陷于城中矣。」玄德默然无语。关公顿足埋怨曰：「你当初要守城时，说甚来？兄长吩咐你甚来？今日城池又失了，嫂嫂又陷了，如何是好！」张飞闻言，惶恐无地，掣剑欲自刎。正是：",named_dialogue_transition
刘备,庞统,9,3,1,8,"Chapter 60, P060-027: 玄德曰：「今与吾水火相敌者，曹操也。操以急，吾以宽；操以暴，吾以仁；操以谲，吾以忠；每与操相反，事乃可成。若以小利而失大义于天下，吾不为也。」庞统笑曰：「主公之言，虽合天理，奈离乱之时，用兵争强，固非一道；若拘执常理，寸步不可行矣。宜从权变。且兼弱攻昧，逆取顺守，汤，武之道也。若事定之后，报之以义，封为大国，何负于信？今日不取，终被他人取耳。主公幸熟思焉。」玄德乃恍然曰：「金石之,言，当铭肺腑。」 || Chapter 62, P062-003: 玄德从之，遣人往成都。来到关前，杨怀高沛闻知此事，遂教高沛守关，杨怀同使者入成都，见刘璋呈上书信。刘璋看毕，问杨怀为何亦同来。杨怀曰：「专为此书而来。刘备自从入川，广布恩德，以收民心，其意甚是不善。今求军马钱粮，切不可与。如若相助，是把薪助火也。」刘璋曰：「吾与玄德有兄弟之情，岂可不助？」一人出曰：「刘备枭雄，久留于蜀而不遣，是纵虎入室矣，今更助之以军马钱粮，何异与虎添翼乎？」众视其人，乃零陵烝阳人，姓刘名巴字子初。刘璋闻刘巴之言，犹豫未决。黄权又复苦谏。璋乃量拨老弱军四千，米一万斛，发书遣使报玄德，仍令杨怀，高沛紧守关隘。刘璋使者到葭萌关见玄德，呈上回书。玄德大怒曰：「吾为汝御敌，费力劳心。汝今惜财吝赏，何以使士卒效命乎？」遂扯毁回书，大骂而起。使者逃回成都。庞统曰：「主公只以仁义为重，今日毁书发怒，前情尽弃矣。」玄德曰：「如此，当若何？」庞统曰：「某有三条计策，请主公自择而行。」 || Chapter 62, P062-009: 正说间，忽起一阵旋风，把马前帅字旗吹倒。玄德问庞统曰：「此何兆也？」统曰：「此惊报也。杨怀，高沛二人，必有行刺之意，宜善防之。」玄德乃身披重铠，自佩宝剑防备。人报杨高二将军送行来。玄德令军马歇定。庞统吩咐魏延黄忠：「但关上来的军士，不问多少马步军兵，一个也休放回。」二将得令而去。",named_dialogue_transition
庞统,刘备,8,3,1,7,"Chapter 60, P060-016: 饮酒间，玄德只说闲话，并不提起西川之事。松以言挑之曰：「今皇叔守荆州，还有几郡？」孔明曰：「荆州乃暂借东吴的，每每使人取讨。今我主因是东吴女婿，故权且在此安身。」松曰：「东吴据六郡八十一州，民强国富，犹且不知足耶？」庞统曰：「吾主汉朝皇叔，反不能占据州郡；其他皆汉之蟊贼，却都恃强侵占地土；惟智者不平焉。」玄德曰：「二公休言。吾有何德，敢多望乎？」松曰：「不然，明公乃汉室宗亲，仁义充塞乎四海。休道占据州郡，便代正统而居帝位，亦非分外。」玄德拱手谢曰：「公言太过，备何敢当？」 || Chapter 62, P062-003: 玄德从之，遣人往成都。来到关前，杨怀高沛闻知此事，遂教高沛守关，杨怀同使者入成都，见刘璋呈上书信。刘璋看毕，问杨怀为何亦同来。杨怀曰：「专为此书而来。刘备自从入川，广布恩德，以收民心，其意甚是不善。今求军马钱粮，切不可与。如若相助，是把薪助火也。」刘璋曰：「吾与玄德有兄弟之情，岂可不助？」一人出曰：「刘备枭雄，久留于蜀而不遣，是纵虎入室矣，今更助之以军马钱粮，何异与虎添翼乎？」众视其人，乃零陵烝阳人，姓刘名巴字子初。刘璋闻刘巴之言，犹豫未决。黄权又复苦谏。璋乃量拨老弱军四千，米一万斛，发书遣使报玄德，仍令杨怀，高沛紧守关隘。刘璋使者到葭萌关见玄德，呈上回书。玄德大怒曰：「吾为汝御敌，费力劳心。汝今惜财吝赏，何以使士卒效命乎？」遂扯毁回书，大骂而起。使者逃回成都。庞统曰：「主公只以仁义为重，今日毁书发怒，前情尽弃矣。」玄德曰：「如此，当若何？」庞统曰：「某有三条计策，请主公自择而行。」 || Chapter 62, P062-012: 众皆应允。是夜二百人先行，大军随后。前军至关下叫曰：「二将军有急事回，可速开关。」城上听得是自家军，即时开关。大军一拥而入，兵不血刃，得了涪关。蜀军皆降。玄德各加重赏，遂即分兵前后守把。次日劳军，设宴于公厅。玄德酒酣，顾庞统曰：「今日之会，可为乐乎！」庞统曰：「伐人之国而以为乐，非仁者之兵也。」玄德曰：「吾闻昔日武王伐纣，作乐象功，此亦非仁者之兵欤？汝言何不合道理？可速退！」",named_dialogue_transition
