canonical_name,in_degree,out_degree,in_weight,out_weight,undirected_degree,weighted_degree,betweenness_centrality,pagerank,community_id
刘备,18,18,126,107,23,233,0.2586477108157325,0.1972897148998009,1
诸葛亮,16,14,88,81,18,169,0.2708284939992257,0.14754175260949728,1
关羽,6,6,28,38,8,66,0.06577049368377282,0.05755970101062549,1
张飞,4,4,23,28,5,51,0.0027021407780215365,0.03959286694000699,1
庞统,4,3,12,10,6,22,0.020385426076482988,0.0218735994487858,1
孙乾,2,3,4,9,3,13,0.0,0.011773766493542604,1
司马徽,1,1,7,5,1,12,0.0,0.011065866930169312,1
赵云,4,2,4,5,4,9,0.00010037137408411121,0.00931710240881619,5
吴国太,1,2,3,5,2,8,0.011526218436787541,0.009898922098499508,3
姜维,2,1,3,4,2,7,0.044263775971093045,0.009548831969178752,7
孟获,1,1,3,4,1,7,0.0,0.007623667123345319,1
郭嘉,4,3,4,3,5,7,0.02081451370069256,0.017553200120001864,6
魏延,3,2,5,2,3,7,0.0,0.00791514738946316,5
鲁肃,2,3,2,5,3,7,0.0,0.007682014610078494,1
刘琦,1,2,2,4,2,6,0.0,0.006814550791766666,1
刘禅,1,3,1,5,3,6,0.06112616681722373,0.011516204441334981,7
贾诩,3,3,3,3,5,6,0.05167620194720467,0.029806899303734796,6
司马懿,2,2,2,3,4,5,0.0653417645287564,0.02466865118664821,7
周瑜,3,0,5,0,3,5,0.020478986535897106,0.012438084161111331,3
孔融,1,1,3,2,1,5,0.0,0.006027781936153543,1
孙权,1,4,1,4,5,5,0.04659418419581022,0.014304042982121247,3
法正,2,2,2,3,3,5,0.0,0.00619786680271436,1
程昱,2,2,2,3,3,5,0.007377295995182175,0.012381678548221225,6
黄忠,1,4,1,4,4,5,0.00010037137408411121,0.006474097633601304,5
司马昭,1,3,1,3,3,4,0.03342366757000904,0.015936214694865593,4
荀彧,3,1,3,1,3,4,0.017730603231958242,0.011279017683823002,6
袁绍,2,2,2,2,4,4,0.025767841011743453,0.010826522970253882,6
刘表,1,2,1,2,2,3,0.05980628324801766,0.011594164361145815,6
夏侯霸,2,1,2,1,3,3,0.07859078590785908,0.009413783816652845,7
张昭,1,1,1,2,2,3,0.0002760212787313058,0.0090897857191625,3
荀攸,1,1,2,1,2,3,0.0,0.008770380518515593,6
诸葛瑾,2,1,2,1,3,3,0.017138412124861988,0.011907910524339881,3
邓芝,1,1,1,2,1,3,0.0,0.0046553715086170505,1
郭淮,1,2,1,2,2,3,0.016862390846130684,0.016760638890161914,7
陈登,1,1,2,1,1,3,0.0,0.004588329080720465,1
司马师,1,1,1,1,1,2,0.0,0.009202041042770037,4
吕布,1,1,1,1,2,2,0.016862390846130684,0.008162275621444344,2
孟达,2,0,2,0,2,2,0.0,0.0039939925676336875,1
张辽,1,0,2,0,1,2,0.0,0.003911748156903088,1
张郃,1,0,2,0,1,2,0.0,0.01081649119534431,7
曹操,2,0,2,0,2,2,0.000501856870420556,0.006861245943325632,6
曹真,1,1,1,1,1,2,0.0,0.011926845177861845,7
许褚,1,1,1,1,2,2,0.004516711833785004,0.009048585123279818,6
公孙瓒,0,1,0,1,1,1,0.0,0.004729785928753828,6
刘璋,0,1,0,1,1,1,0.0,0.003274266139917149,1
吕蒙,1,0,1,0,1,1,0.0,0.004860837104483737,3
夏侯惇,0,1,0,1,1,1,0.0,0.0031704489772369695,1
太史慈,0,1,0,1,1,1,0.0,0.005803057779497056,3
徐庶,0,1,0,1,1,1,0.0,0.0031488762252873887,1
曹丕,0,1,0,1,1,1,0.0,0.006651793865500064,6
曹叡,0,1,0,1,1,1,0.0,0.00662282049645758,7
李儒,0,1,0,1,1,1,0.0,0.005898116936697143,2
王允,0,1,0,1,1,1,0.0,0.006651793865500064,6
费祎,1,0,1,0,1,1,0.0,0.00406061209314622,7
郭汜,1,0,1,0,1,1,0.0,0.006651793865500064,6
钟会,1,0,1,0,1,1,0.0,0.005815595420170443,4
陈宫,1,0,1,0,1,1,0.0,0.0031488762252873887,1
黄盖,0,1,0,1,1,1,0.0,0.003171223701252917,1
关兴,0,0,0,0,0,0,0.0,0.0024291497975708503,0
华佗,0,0,0,0,0,0,0.0,0.0024291497975708503,0
华歆,0,0,0,0,0,0,0.0,0.0024291497975708503,0
吉平,0,0,0,0,0,0,0.0,0.0024291497975708503,0
孙坚,0,0,0,0,0,0,0.0,0.0024291497975708503,0
孙策,0,0,0,0,0,0,0.0,0.0024291497975708503,0
张松,0,0,0,0,0,0,0.0,0.0024291497975708503,0
徐晃,0,0,0,0,0,0,0.0,0.0024291497975708503,0
曹洪,0,0,0,0,0,0,0.0,0.0024291497975708503,0
李肃,0,0,0,0,0,0,0.0,0.0024291497975708503,0
杨修,0,0,0,0,0,0,0.0,0.0024291497975708503,0
王平,0,0,0,0,0,0,0.0,0.0024291497975708503,0
田丰,0,0,0,0,0,0,0.0,0.0024291497975708503,0
祢衡,0,0,0,0,0,0,0.0,0.0024291497975708503,0
管辂,0,0,0,0,0,0,0.0,0.0024291497975708503,0
董卓,0,0,0,0,0,0,0.0,0.0024291497975708503,0
董承,0,0,0,0,0,0,0.0,0.0024291497975708503,0
蔡瑁,0,0,0,0,0,0,0.0,0.0024291497975708503,0
许攸,0,0,0,0,0,0,0.0,0.0024291497975708503,0
邓艾,0,0,0,0,0,0,0.0,0.0024291497975708503,0
阚泽,0,0,0,0,0,0,0.0,0.0024291497975708503,0
陆逊,0,0,0,0,0,0,0.0,0.0024291497975708503,0
顾雍,0,0,0,0,0,0,0.0,0.0024291497975708503,0
马腾,0,0,0,0,0,0,0.0,0.0024291497975708503,0
马超,0,0,0,0,0,0,0.0,0.0024291497975708503,0
